Order ID,Customer ID,Order Date,Category,Product Name,Unit Price (GBP),Quantity,Discount %,Region,Channel,Customer Segment,Payment Method,Review Rating,Returned,Previous Orders
101319,5404,2025-11-05,Bedding,Pillow Pair,33.82,2,20,South East,Online,New,Card,2.8,No,3
100505,5246,2025-02-01,Decor,Ceramic Vase,54.27,4,5,North East,Online,VIP,Card,3.4,No,4
101942,5227,2026-01-27,Bedding,Linen Duvet Set,33.3,2,5,South West,Online,New,PayPal,4.1,Yes,2
101073,5680,2025-10-24,Bedding,Mattress Topper,24.19,1,0,Wales,In-Store,New,Klarna,4.6,No,3
100111,5249,2025-05-08,Storage,Storage Ottoman,42.15,1,0,Wales,Online,New,Card,3.9,No,3
101274,5607,2026-02-07,Furniture,Console Table,33.43,1,0,Scotland,In-Store,New,PayPal,,No,4
102155,5634,2025-08-08,Storage,Shoe Rack,63.8,1,15,Wales,Online,New,Card,4.8,No,4
101650,5752,2025-04-13,Lighting,Pendant Light,35.05,1,0,South West,Online,Returning,Card,4.4,No,1
101115,5174,2025-07-03,Lighting,Pendant Light,23.27,1,0,South East,Online,Returning,Gift Card,5.0,No,5
100830,5026,2026-02-12,Furniture,Coffee Table,73.96,2,10,Wales,Online,New,Card,5.0,No,5
102174,5688,2026-01-08,Kitchen,Kettle,35.56,2,0,South East,Online,VIP,Card,4.8,No,4
100971,5268,2025-10-14,Storage,Shoe Rack,43.55,4,0,Midlands,Online,Returning,Card,4.5,No,3
101449,5665,2026-03-31,Lighting,Fairy Lights,20.81,1,0,London,Online,Returning,Card,4.5,No,2
101978,5308,2025-11-23,Storage,Wall Shelf Unit,14.53,1,0,South West,Online,Returning,Card,4.5,No,5
101625,5498,2025-09-28,Decor,Wall Mirror,94.89,1,0,Midlands,Online,New,Card,3.6,No,0
101414,5712,2025-02-03,storage,Shoe Rack,51.66,3,0,South East,Online,Returning,PayPal,5.0,No,3
100008,5627,2026-01-17,Furniture,Accent Chair,36.65,1,0,North East,Online,New,Card,5.0,No,3
101479,5207,2025-09-03,Lighting,Floor Lamp,54.53,4,5,Wales,Online,New,Card,4.9,No,1
